Year,Data
1990,39.83310619
1991,40.16031413
1992,41.0762555
1993,41.20731426
1994,42.11553832
1995,42.71802622
1996,43.08250815
1997,43.36293754
1998,43.73014034
1999,44.47811502
2000,44.9078215
2001,45.12629636
2002,45.31520185
2003,45.81161541
2004,45.84518058
2005,46.02476351
2006,46.00694209
2007,46.00215167
2008,45.99056257
2009,46.68203039
2010,46.64126844
2011,46.49146654
2012,46.84658898
2013,46.8162872
2014,47.15602668
2015,47.13201208
2016,47.25358926
2017,47.20491268
2018,47.62677982
2019,47.71840397
2020,47.8687923
2021,47.73448529
